20100603000506 13345.338  3881.844 55834.840 .
20100603000507 13345.268  3881.825 55834.803 .
20100603000508 13345.260  3881.840 55834.795 .
20100603000509 13345.281  3881.805 55834.795 .
20100603000510 13345.300  3881.844 55834.788 .
20100603000511 13345.339  3881.804 55834.791 .
20100603000512 13345.331  3881.763 55834.792 .
20100603000513 13345.321  3881.735 55834.763 .
20100603000514 13345.305  3881.681 55834.776 .
20100603000515 13345.240  3881.717 55834.753 .
20100603000516 13345.304  3881.596 55834.738 .
20100603000517 13345.371  3881.672 55834.712 .
20100603000518 13345.289  3881.675 55834.687 .
20100603000519 13345.293  3881.701 55834.724 .
20100603000520 13345.365  3881.693 55834.742 .
20100603000521 13345.323  3881.707 55834.726 .
20100603000522 13345.310  3881.681 55834.731 .
20100603000523 13345.345  3881.664 55834.693 .
20100603000524 13345.345  3881.670 55834.706 .
20100603000525 13345.338  3881.667 55834.683 .
20100603000526 13345.379  3881.656 55834.677 .
20100603000527 13345.434  3881.661 55834.733 .
20100603000528 13345.534  3881.715 55834.655 .
20100603000529 13345.510  3881.661 55834.666 .
20100603000530 13345.547  3881.735 55834.665 .
20100603000531 13345.571  3881.750 55834.690 .
20100603000532 13345.625  3881.799 55834.665 .
20100603000533 13345.700  3881.855 55834.678 .
20100603000534 13345.816  3881.828 55834.651 .
20100603000535 13345.835  3881.854 55834.630 .
20100603000536 13345.921  3881.860 55834.693 .
20100603000537 13346.019  3881.899 55834.694 .
20100603000538 13346.059  3881.917 55834.654 .
20100603000539 13346.084  3881.991 55834.649 .
20100603000540 13346.125  3881.994 55834.657 .
20100603000541 13346.199  3882.084 55834.694 .
20100603000542 13346.324  3882.076 55834.644 .
20100603000543 13346.348  3882.169 55834.679 .
20100603000544 13346.340  3882.203 55834.651 .
20100603000545 13346.430  3882.155 55834.669 .
20100603000546 13346.416  3882.169 55834.657 .
20100603000547 13346.404  3882.174 55834.696 .
20100603000548 13346.391  3882.231 55834.716 .
20100603000549 13346.394  3882.146 55834.696 .
20100603000550 13346.360  3882.173 55834.686 .
20100603000551 13346.382  3882.285 55834.708 .
20100603000552 13346.320  3882.224 55834.722 .
20100603000553 13346.381  3882.214 55834.742 .
20100603000554 13346.343  3882.147 55834.653 .
20100603000555 13346.332  3882.118 55834.654 .
20100603000556 13346.271  3882.058 55834.664 .
20100603000557 13346.246  3882.029 55834.701 .
20100603000558 13346.245  3882.064 55834.679 .
20100603000559 13346.278  3882.049 55834.698 .
20100603000600 13346.229  3881.977 55834.674 .
20100603000601 13346.231  3882.022 55834.703 .
20100603000602 13346.277  3881.996 55834.651 .
20100603000603 13346.253  3881.999 55834.702 .
20100603000604 13346.233  3881.919 55834.688 .
20100603000605 13346.221  3881.939 55834.695 .
20100603000606 13346.219  3881.873 55834.718 .
20100603000607 13346.168  3881.891 55834.715 .
20100603000608 13346.200  3881.840 55834.696 .
20100603000609 13346.142  3881.877 55834.716 .
20100603000610 13346.156  3881.850 55834.737 .
20100603000611 13346.143  3881.790 55834.706 .
20100603000612 13346.113  3881.816 55834.724 .
20100603000613 13346.135  3881.834 55834.732 .
20100603000614 13346.105  3881.752 55834.728 .
20100603000615 13346.069  3881.736 55834.758 .
20100603000616 13346.074  3881.778 55834.754 .
20100603000617 13346.024  3881.758 55834.742 .
20100603000618 13346.027  3881.690 55834.746 .
20100603000619 13346.114  3881.716 55834.774 .
20100603000620 13346.007  3881.705 55834.761 .
